"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","chr","start","end","strand"
"ENSG00000179094",879.148177124014,3.19544936383436,0.521258822857275,6.13025472896274,8.7738481400176e-10,1.28782542999178e-05,"AC129492.1","17","8140472","8156506","-1"
"ENSG00000109906",427.509938817741,7.10227327170618,1.26385517547506,5.61953094747315,1.91476580136727e-08,0.000140524662162344,"ZBTB16","11","114059593","114250676","1"
"ENSG00000157613",2837.49178030983,-0.977926964498344,0.188166296982571,-5.19714199716076,2.02375776940696e-07,0.000634609282072417,"CREB3L1","11","46277661","46321422","1"
"ENSG00000179593",74.1088433036291,9.60739568883484,1.85297103987511,5.18486014194933,2.16177027548854e-07,0.000634609282072417,"ALOX15B","17","8039034","8049134","1"
"ENSG00000182010",104.206953913494,-1.8977466477532,0.361540856695301,-5.24905169805631,1.52884169997811e-07,0.000634609282072417,"RTKN2","10","62183035","62268844","-1"
"ENSG00000134253",139.332870699965,-1.96582742636853,0.382934532262963,-5.13358618965863,2.84272757062579e-07,0.000695425921360756,"TRIM45","1","117111060","117122587","-1"
"ENSG00000162643",85.3237001647239,-1.57918013656753,0.311341512889293,-5.07217981281236,3.93284502744995e-07,0.000824661418755863,"WDR63","1","84999147","85133138","1"
"ENSG00000085415",341.641805717611,0.679575260313396,0.137751960730885,4.93332549829202,8.08412672459611e-07,0.00111988820493532,"SEH1L","18","12947133","12987536","1"
"ENSG00000116285",3183.82353596947,2.44106146237481,0.503393192885132,4.84921428592267,1.23951463395034e-06,0.00111988820493532,"ERRFI1","1","8004404","8026309","-1"
"ENSG00000137672",699.255029192776,1.96112735058237,0.406128534309185,4.82883418649271,1.37334702880745e-06,0.00111988820493532,"TRPC6","11","101451564","101872562","-1"
"ENSG00000141401",603.398967601378,2.34572003177734,0.479223085507806,4.89483938214644,9.83860504137391e-07,0.00111988820493532,"IMPA2","18","11981025","12030877","1"
"ENSG00000157152",58.0217933528487,3.56364667891738,0.729616072427058,4.88427655802997,1.0380928655579e-06,0.00111988820493532,"SYN2","3","12004388","12192032","1"
"ENSG00000163491",142.522452050563,-2.45606090003409,0.507538866305598,-4.83915826567507,1.30390184396603e-06,0.00111988820493532,"NEK10","3","27110085","27369460","-1"
"ENSG00000163884",631.310226229378,4.56678872831153,0.938681081714708,4.86511214220838,1.14391928794625e-06,0.00111988820493532,"KLF15","3","126342635","126357408","-1"
"ENSG00000181826",403.871922300444,1.11282368983757,0.22848034027105,4.87054461017263,1.11291070302436e-06,0.00111988820493532,"RELL1","4","37590800","37686376","-1"
"ENSG00000183160",3003.62534951683,-1.17322585331744,0.241680375399137,-4.85445229626049,1.20719924513789e-06,0.00111988820493532,"TMEM119","12","108589851","108598320","-1"
"ENSG00000185950",2099.8749831868,2.16730575705538,0.439923556238019,4.92655082075842,8.36938514405489e-07,0.00111988820493532,"IRS2","13","109752695","109786583","-1"
"ENSG00000198517",598.228931963249,0.704317665638621,0.144664975855616,4.86861219499025,1.12384710045478e-06,0.00111988820493532,"MAFK","7","1530702","1543043","1"
"ENSG00000124151",1605.13001883145,1.39765308231124,0.29059636568939,4.80960275946862,1.51230535654083e-06,0.00116829568543718,"NCOA3","20","47501887","47656877","1"
"ENSG00000152583",1214.47533108584,4.59758855808521,0.961436974959816,4.78199682124496,1.73562424417588e-06,0.00127377463280068,"SPARCL1","4","87473335","87531061","-1"
"ENSG00000127954",254.077628384009,5.16668566903766,1.08764252401436,4.75035276293539,2.03062100897348e-06,0.00141930738903394,"STEAP4","7","88270892","88306891","-1"
"ENSG00000143344",1127.05236479737,-1.06885593143972,0.225691376218708,-4.73591835606488,2.18065367991894e-06,0.00145489248699319,"RGL1","1","183636085","183928531","1"
"ENSG00000166401",352.32414488636,0.637374721078966,0.135771220231077,4.69447589845759,2.67291120760072e-06,0.00163470794604847,"SERPINB8","18","63969925","64019779","1"
"ENSG00000267339",49.8114171898329,-3.45297405624562,0.735124523888217,-4.69712809740336,2.63844993156455e-06,0.00163470794604847,"LINC00906","19","28883430","28970874","1"
"ENSG00000087448",954.884714344587,1.06142039634856,0.227035212480664,4.67513556488051,2.93759503688936e-06,0.00168001549842101,"KLHL42","12","27780048","27803040","1"
"ENSG00000108821",98395.3154491143,-1.28361015495289,0.27471736239079,-4.67247553551759,2.97590972604894e-06,0.00168001549842101,"COL1A1","17","50183289","50201632","-1"
