ENSEMBL_ID	length
"ENSG00000000003"	4535
"ENSG00000000005"	1476
"ENSG00000000419"	1207
"ENSG00000000457"	6883
"ENSG00000000460"	5970
"ENSG00000000938"	3382
"ENSG00000000971"	8145
"ENSG00000001036"	2793
"ENSG00000001084"	8618
"ENSG00000001167"	3811
"ENSG00000001460"	8511
"ENSG00000001461"	9396
"ENSG00000001497"	5589
"ENSG00000001561"	4644
"ENSG00000001617"	4826
"ENSG00000001626"	9343
"ENSG00000001629"	7389
"ENSG00000001630"	3529
"ENSG00000001631"	6204
"ENSG00000002016"	4190
"ENSG00000002079"	6307
"ENSG00000002330"	1708
"ENSG00000002549"	3785
"ENSG00000002586"	4858
"ENSG00000002587"	7435
"ENSG00000002726"	3824
"ENSG00000002745"	3264
"ENSG00000002746"	13935
"ENSG00000002822"	7230
"ENSG00000002834"	7061
"ENSG00000002919"	3606
"ENSG00000002933"	3477
"ENSG00000003056"	3585
"ENSG00000003096"	6983
"ENSG00000003137"	5015
"ENSG00000003147"	4883
"ENSG00000003249"	4791
"ENSG00000003393"	10438
"ENSG00000003400"	7598
"ENSG00000003402"	22479
"ENSG00000003436"	11714
"ENSG00000003509"	3651
"ENSG00000003756"	10368
"ENSG00000003987"	6928
"ENSG00000003989"	7905
"ENSG00000004059"	1825
"ENSG00000004139"	11105
"ENSG00000004142"	2670
"ENSG00000004399"	9738
"ENSG00000004455"	5727
"ENSG00000004468"	6857
"ENSG00000004478"	5163
"ENSG00000004487"	5440
"ENSG00000004534"	7299
"ENSG00000004660"	7424
"ENSG00000004700"	3779
"ENSG00000004766"	9559
"ENSG00000004776"	1724
"ENSG00000004777"	5260
"ENSG00000004779"	1548
"ENSG00000004799"	4544
"ENSG00000004809"	3907
"ENSG00000004838"	2889
"ENSG00000004846"	9257
"ENSG00000004848"	3114
"ENSG00000004864"	3710
"ENSG00000004866"	6742
"ENSG00000004897"	6824
"ENSG00000004939"	5125
"ENSG00000004948"	4227
"ENSG00000004961"	2343
"ENSG00000004975"	5321
"ENSG00000005001"	2384
"ENSG00000005007"	8600
"ENSG00000005020"	5361
"ENSG00000005022"	1555
"ENSG00000005059"	3555
"ENSG00000005073"	2307
"ENSG00000005075"	1355
"ENSG00000005100"	5789
"ENSG00000005102"	2674
"ENSG00000005108"	10921
"ENSG00000005156"	12919
"ENSG00000005175"	5350
"ENSG00000005187"	7510
"ENSG00000005189"	4114
"ENSG00000005194"	3383
"ENSG00000005206"	7419
"ENSG00000005238"	6409
"ENSG00000005243"	1866
"ENSG00000005249"	4262
"ENSG00000005302"	9780
"ENSG00000005339"	15492
"ENSG00000005379"	11389
"ENSG00000005381"	3526
"ENSG00000005421"	2832
"ENSG00000005436"	5465
"ENSG00000005448"	2860
"ENSG00000005469"	4979
"ENSG00000005471"	7727
"ENSG00000005483"	9949
"ENSG00000005486"	2390
"ENSG00000005513"	4470
"ENSG00000005700"	8719
"ENSG00000005801"	11711
"ENSG00000005810"	15987
"ENSG00000005812"	7076
"ENSG00000005844"	6472
"ENSG00000005882"	5481
"ENSG00000005884"	9802
"ENSG00000005889"	9037
"ENSG00000005893"	5526
"ENSG00000005961"	5551
"ENSG00000005981"	4606
"ENSG00000006007"	4390
"ENSG00000006015"	3370
"ENSG00000006016"	2967
"ENSG00000006025"	6572
"ENSG00000006042"	5187
"ENSG00000006047"	4631
"ENSG00000006059"	1287
"ENSG00000006062"	5668
"ENSG00000006071"	12588
"ENSG00000006116"	3088
"ENSG00000006118"	7271
"ENSG00000006125"	7591
"ENSG00000006128"	1712
"ENSG00000006194"	6403
"ENSG00000006210"	5960
"ENSG00000006282"	5337
"ENSG00000006283"	10062
"ENSG00000006327"	1848
"ENSG00000006377"	3445
"ENSG00000006432"	12386
"ENSG00000006451"	3579
"ENSG00000006453"	4821
"ENSG00000006459"	9378
"ENSG00000006468"	9615
"ENSG00000006530"	10697
"ENSG00000006534"	6626
"ENSG00000006555"	6111
"ENSG00000006576"	8646
"ENSG00000006606"	706
"ENSG00000006607"	14371
"ENSG00000006611"	4904
"ENSG00000006625"	1594
"ENSG00000006634"	4595
"ENSG00000006638"	2793
"ENSG00000006652"	7462
"ENSG00000006659"	904
"ENSG00000006695"	6756
"ENSG00000006704"	6498
"ENSG00000006712"	2850
"ENSG00000006715"	7752
"ENSG00000006740"	9322
"ENSG00000006744"	7002
"ENSG00000006747"	11626
"ENSG00000006756"	7026
"ENSG00000006757"	3411
"ENSG00000006788"	6120
"ENSG00000006831"	5831
"ENSG00000006837"	3149
"ENSG00000007001"	2957
"ENSG00000007038"	1967
"ENSG00000007047"	6656
"ENSG00000007062"	7434
"ENSG00000007080"	1661
"ENSG00000007129"	1977
"ENSG00000007168"	8219
"ENSG00000007171"	4369
"ENSG00000007174"	16941
"ENSG00000007202"	9232
"ENSG00000007216"	3226
"ENSG00000007237"	10100
"ENSG00000007255"	933
"ENSG00000007264"	4138
"ENSG00000007306"	2653
"ENSG00000007312"	2080
"ENSG00000007314"	8243
"ENSG00000007341"	8108
"ENSG00000007350"	3526
"ENSG00000007372"	20639
"ENSG00000007376"	2769
"ENSG00000007384"	4914
"ENSG00000007392"	6176
"ENSG00000007402"	6322
"ENSG00000007516"	6146
"ENSG00000007520"	1210
"ENSG00000007541"	7904
"ENSG00000007545"	8373
"ENSG00000007866"	3049
"ENSG00000007908"	4586
"ENSG00000007923"	5083
"ENSG00000007933"	3439
"ENSG00000007944"	3072
"ENSG00000007952"	2543
"ENSG00000007968"	5462
"ENSG00000008018"	2219
"ENSG00000008056"	3733
"ENSG00000008083"	6244
